menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
commodity_info_vote_login_p,欲進行投票，請先登入QPP APP,欲进行投票，请先登入QPP APP,"If you want to vote, please login QPP APP first.","Để bỏ phiếu, vui lòng đăng nhập QPP APP",投票を行うためには、QPPをログインしてください。,투표를 진행하시려면 우선 QPP APP을 로그인하세요,ถ้าจะโหวต โปรดล็อกอินแอป QPP ก่อน,"Jika anda ingin melakukan pemungutan suara, Silahkan login APP QPP dahulu."
commodity_info_vote_success,投票成功,投票成功,Your vote has been successfully submitted.,Bỏ phiếu thành công,投票成功,투표에 성공합니다,โหวตสำเร็จ,Pemilihan suara anda telah berhasil dikirimkan
commodity_info_vote_success_p,將於APP收到歷程紀錄，投票結果依照創建者設定公布結果,将于APP收到历程纪录，投票结果依照创建者设定公布结果,"You will receive a record in your APP, the vote results will show by the way that the creator chose.","Đưa APP vào lịch sử ghi nhớ, kết quả bỏ phiếu dựa vào kết quả công bố của người thiết lập",APPで履歴を受け取り、投票結果は作成者の設定によって発表します。,APP에서 이력 기록을 수령할 것이며 투표 결과 생성자 설치에 따라 결과 발표할 것입니다.,คุณจะได้รับบันทึกจากแอป ประกาศผลโหวตตามการตั้งค่าของผู้สร้าง,"Anda akan menerima record di APP Anda, hasil pemungutan suara akan ditampilkan dengan cara yang dipilih oleh pembuatnya."
commodity_info_vote_fault,投票失敗,投票失败,Your vote failed to submit.,Bỏ phiếu thất bại,投票失敗,투표에 실패합니다.,คุณโหวตล้มเหลว,Hasil pemilihan suara anda gagal dikirim
commodity_info_vote_cannot,無法投票,无法投票,You cannot vote anymore.,Không thể bỏ phiếu,投票が出来ません,투표할 수 없습니다.,คุณไม่สามารถโหวต,Anda tidak dapat memilih
commodity_info_vote_error9,此物品不可投票，請聯繫客服,此物品不可投票，请联系客服,"This item cannot process a vote function, please contact customer service.","Vật phẩm này không thể bỏ phiếu, vui lòng liên lạc với trung tâm CSKH",当該アイテムは投票できません。<br />カスタマサポートへご連絡ください。,해당 물품은 투표할 수 없습니다.고객서비스 센터로 연락하여 주시길 바랍니다,สินค้านี้ไม่สามารถโหวต โปรดติดต่อฝ่ายบริการลูกค้า,"Item ini tidak dapat memproses fungsi voting, harap hubungi layanan pelanggan."
commodity_info_vote_error12,資料錯誤，請聯繫客服,资料错误，请联系客服,"The vote data went wrong, please contact customer service.","Dữ liệu bỏ phiếu lỗi, vui lòng liên lạc với trung tâm CSKH",投票資料にエラーが発生したため、カスタマサポートへご連絡ください。,투표 정부 오류입니다.고객서비스 센터로 연락하여 주시길 바랍니다,ข้อมูลผิดพลาด โปรดติดต่อฝ่ายบริการลูกค้า,"Data pemungutan suara salah, silakan hubungi customer service"
commodity_info_vote_error18,投票過程發生問題，請稍後重新嘗試,投票过程发生问题，请稍后重新尝试,"An error occurred during the vote process, please try again later.","Quá trình bỏ phiếu phát sinh lỗi, vui lòng thử lại sau",投票時にエラーが発生したため、しばらく時間を置いてから再度お試しください。,투표 과정에 문제가 발생되어 잠시 후 다시 시도하여 주시길 바랍니다,เกิดปัญหาในระหว่างการโหวต โปรดลองอีกครั้งในภายหลัง,"Terjadi kesalahan selama proses pemungutan suara, harap coba beberapa saat lagi"
commodity_info_vote_error22,此帳號被停權，無法進行投票,此帐号被停权，无法进行投票,This account cannot vote because the account has been terminated.,"Tài khoản này đã bị dừng, không thể tham gia bỏ phiếu",アカウントが制限されてますので、投票できません。,해당 계정은 권리 중지 제재되었으니 투표를 진행할 수 없습니다,บัญชีนี้ถูกระงับ ไม่สามารถโหวต,Akun ini tidak dapat memilih suara karena telah di hentikan
commodity_info_vote_error30,伺服器忙碌中，請稍後重新嘗試,伺服器忙碌中，请稍后重新尝试,"Server is busy, please try again later.","Máy chủ đang bận, vui lòng thử lại sau",サーバーが混雑しています。しばらく時間を置いてから再度お試しください。,지금 서버가 바쁩니다 잠시후 다시 시도하여 주시길 바랍니다,เซิร์ฟเวอร์ไม่ว่าง โปรดลองอีกครั้งในภายหลัง,"Server sedang sibuk, silahkan coba  lagi "
commodity_info_vote_error72,因您為問卷創建者，會帶您前往統計結果,因您为问卷创建者，会带您前往统计结果,System will redirect you to the statistical results due to you being the creator.,"Vì bạn là người đưa ra câu hỏi, sẽ đưa bạn tới kết quả thống kế",アンケート作成者であるため、集計結果へ移動されます。,설문 조사 생성자이니 통계 결과로 안내드리겠습니다.,เพราะคุณเป็นผู้สร้างแบบสอบถาม จะพาคุณไปที่ผลสถิติ,Sistem akan mengarahkan anda ke hasil statistik karena anda adalah pembuatnya.
commodity_info_vote_error73,投票時間已截止，帶您前往統計結果,投票时间已截止，带您前往统计结果,"The vote time is over, redirecting you to the results.","Thời gian bỏ phiếu đã chấm dứt, Bạn có thể tiến tới xem kết quả",投票時間が終了したため、統計結果へ移動します。,투표 시간이 마감되며 통계 결과 페이지로 이동합니다,เวลาโหวตสิ้นสุด จะพาคุณไปสู่ผลสถิติ,"Waktu pemungutan suara telah berakhir, mengarahkan anda langsung ke hasil"
commodity_info_vote_error74,您已投過票，帶您前往統計結果,您已投过票，带您前往统计结果,"You already vote for it, the system will redirect you to the results.","Bạn đã bỏ phiếu, đến kết quả thống kê",投票したため、集計結果へ移動されます。,이미 투표하셨습니다.통계 결과로 안내드리겠습니다.,คุณได้โหวตแล้ว จะพาคุณไปสู่ผลสถิติ,"Anda telah memilih, sistem akan mengarahkan ke hasil."
commodity_info_vote_qrcodeOverdue,QR Code驗證時間已逾期，請重新嘗試,QR Code验证时间已逾期，请重新尝试,"QR Code authentication time expired, please try again.","Thời gian xác thực mã QR code đã hết hạn, vui lòng thử lại ",QRコードの認証期限が切れたため、もう一度お試しください。,"QR Code 인증 기간이 지났습니다, 다시 시도해 주세요.",เวลายืนยันQR Code หมดอายุแล้ว โปรดลองใหม่,"Waktu autentikasi QR-code telah habis, harap coba lagi."
commodity_info_vote_enter,確定,确定,Confirm,Xác nhận,確定,확인,ยืนยัน,Mengonfirmasi
commodity_info_more,更多,更多,More,Nhiều hơn,もっと見る,더보기,เพิ่มเติม,Selanjutnya
commodity_info_countdown,(登入倒數：,(登入倒数：,Login Countdown:,(Thời gian đăng nhập đếm ngược:,(ログインカウントダウン：,(로그인 카운트：,(ล็อกอินนับถอยหลัง:,(Login countdown:
commodity_info_seconds,秒),秒),second(s),s),秒),초),วินาที),detik)
commodity_info_notice,請注意,请注意,Warning,Cảnh báo,注意,경고,คำเตือน,Peringatan
commodity_info_category,類別,类别,Category,Loại,カテゴリー,유별,ประเภท,Kategori
footer_companyName,快鏈科技,快链科技,"HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD"
footer_taxID,統一編號,统一编号,Tax ID Number,Mã số thuế,統一番号,사업자등록번호,เลขจดทะเบียนธุรกิจ,tax ID number
footer_customerServiceEmail,客服信箱,客服信箱,Customer Service E-mail,Email CSKH,お問い合わせメール,고객 센터 이메일,อีเมลฝ่ายบริการลูกค้า,E-mail Customer Service
footer_businessProposalEmail,商務合作信箱,商务合作信箱,Business Proposal E-mail,Email nhà hợp tác,業務提携お問い合わせ,콜라보 우편함,อีเมลข้อเสนอทางธุรกิจ,E-mail Business Proposal
footer_link,連結,连结,Link,Liên kết,リンク,링크,ลิงค์,Tautan
footer_terms,條款,条款,Terms,Điều khoản,規約,약관,เงื่อนไข,Terms
footer_privacyPolicy,隱私權政策,隐私权政策,Privacy Policy,Chính sách bảo mật,プライバシーポリシー,프라이버시 정책,นโยบายความเป็นส่วนตัว,Privacy Policy
footer_termsOfService,使用者條款,使用者条款,Terms of Service,Điều khoản người sử dụng,利用規約,서비스계약,เงื่อนไขการให้บริการ,Terms of Service
footer_download,下載,下载,Download,Tải,ダウンロード,다운로드,ดาวน์โหลด,Download
privacy_title,隱私權政策,隐私权政策,Privacy Policy,Chính sách bảo mật,プライバシーポリシー,프라이버시 정책,Privacy Policy,Privacy Policy
privacy_p,"本隱私權政策適用於HOLY BUSINESS CO., LTD(以下稱「本公司」或「我們」)於 https://www.qpptec.com/ 網站提供的「QPP」平台服務(以下稱「本服務」)。當您開始使用本服務時，即表示您已閱讀、瞭解並同意本公司隱私權政策。本隱私權政策為使用者條款之一部。<span class='text-yellow-100'>請注意！因為本服務提供會員平台服務，會員帳號將為您的手機門號，即您個人資料有可能會被揭露予第三人或被第三人利用，如果您不同意，<u>請立即停止註冊</u>。</span>","本隐私权政策适用于HOLY BUSINESS CO., LTD(以下称「本公司」或「我们」)于 https://www.qpptec.com/ 网站提供的「QPP」平台服务(以下称「本服务」)。当您开始使用本服务时，即表示您已阅读、了解并同意本公司隐私权政策。本隐私权政策为使用者条款之一部。<span class='text-yellow-100'>请注意！因为本服务提供会员平台服务，会员帐号将为您的手机门号，即您个人资料有可能会被揭露予第三人或被第三人利用，如果您不同意，<u>请立即停止注册</u>。</span>","This Privacy Policy is for HOLY BUSINESS CO., LTD(「HOLY BUSINESS」or「we/our/us」in the following statement) provided at https://www.qpptec.com/ website’s「QPP」Platform Service(「The Service」in the following statement). When you start to use The Service, it means you already read, know, and agree to our Privacy Policy. This Privacy Policy is a part of our User Terms of Service. <span class='text-yellow-100'>Please Notice! Due to The Service provides membership platform service, your cell phone number will be your membership account, which could possibly be revealed to or used by third party, if you disagreed about this, <u>please stop registration immediately</u>.</span>","Chính sách bảo mật này áp dụng cho dịch vụ nền tảng「QPP」 được cung cấp bởi HOLY BUSINESS CO., LTD (sau đây gọi là 「Công ty」 hoặc「Chúng tôi」) trên trang web https://www.qpptec.com/ trang web cung cấp nền tảng dịch vụ「QPP」(sau đây được gọi là「Dịch vụ 」 ). Khi bạn bắt đầu sử dụng dịch vụ này, có nghĩa là bạn đã đọc, hiểu và đồng ý với chính sách bảo mật của công ty. Chính sách bảo mật này là một phần của điều khoản người dùng. Xin lưu ý! Vì dịch vụ này cung cấp dịch vụ nền tảng , tài khoản thành viên sẽ là số điện thoại di động của bạn, tức là thông tin cá nhân của bạn có thể bị người thứ ba tiếp xúc hoặc lợi dụng, nếu không đồng ý, vui lòng ngừng đăng ký ngay.","本プライバシーポリシーは（以下「本ポリシー」といいます）OLY BUSINESS CO., LTD(以下「当社」といいます)が https://www.qpptec.com/ で提供している「QPP」プラットホームサービス(以下「本サービス」といいます)に適用されます。本サービスをご利用いただいた際は、本ポリシーをよくお読みいただいた上で同意いただけたとみなします。本ポリシーは利用規約の条項の一部分でございます。<span class='text-yellow-100'>ご注意ください！本サービスはプラットホームのメンバーにサービスを提供するため、会員アカウントはユーザーの携帯番号になります。すなわち、ユーザーの個人情報は第三者に開示されたり、利用される可能性はございますので、同意いただけない場合、すぐに新規登録をお止めください。</span>","본 프라이버시 정책은HOLY BUSINESS CO., LTD  (이하「회사」혹은「저희」) https://www.qpptech.com 사이트에 제공하는「QPP」플랫폼 서비스(이하「서비스」)에 적용합니다.본 서비스를 이용하기 시작할 때 즉 본 약관을 읽고 이해하고 동의한 것으로 간주합니다.본 프라이버시 정책은 이용 약관의 일부입니다. <span class='text-yellow-100'>주의！본 서비스는 회원에게 서비스를 제공하는 플랫폼입니다.회원 아이디는 님의 핸드폰 전화로 설정하며 즉 개인 정보를 제 삼자에게 공개되거나 이용당할 수 있으니 동의하지 않으면 등록 절차 <u>즉시 중단하시길 바랍니다</u>.</span>","This Privacy Policy is for HOLY BUSINESS CO., LTD(「HOLY BUSINESS」or「we/our/us」in the following statement) provided at https://www.qpptec.com/ website’s「QPP」Platform Service(「The Service」in the following statement). When you start to use The Service, it means you already read, know, and agree to our Privacy Policy. This Privacy Policy is a part of our User Terms of Service. <span class='text-yellow-100'>Please Notice! Due to The Service provides membership platform service, your cell phone number will be your membership account, which could possibly be revealed to or used by third party, if you disagreed about this, <u>please stop registration immediately</u>.</span>","This Privacy Policy is for HOLY BUSINESS CO., LTD(「HOLY BUSINESS」or「we/our/us」in the following statement) provided at https://www.qpptec.com/ website’s「QPP」Platform Service(「The Service」in the following statement). When you start to use The Service, it means you already read, know, and agree to our Privacy Policy. This Privacy Policy is a part of our User Terms of Service. <span class='text-yellow-100'>Please Notice! Due to The Service provides membership platform service, your cell phone number will be your membership account, which could possibly be revealed to or used by third party, if you disagreed about this, <u>please stop registration immediately</u>.</span>"
privacy_paragraph_1_title,一、蒐集之目的,一、搜集之目的,1. The Purpose of Personal Information Collection,1. Mục đích thu thập,1. 情報を収集する目的,1. 개인 정보 수집 목적,1. The Purpose of Personal Information Collection,1. The Purpose of Personal Information Collection
privacy_paragraph_1_p_1,我們蒐集您個人資料之目的，在於提供並完善本服務，並且規劃訂製我們提供的服務項目。,我们搜集您个人资料之目的，在于提供并完善本服务，并且规划订制我们提供的服务项目。,"The purpose of personal information collection is to provide,  improve, and plan our service option. ","Mục đích chúng tôi thu thập dữ liệu các nhân của bạn, để cung cấp một dịch vụ thêm phần hoàn thiện, đồng thời lập thiết lập kế hoạch các hạng mục chúng tôi cần cung cấp phục vụ.",ユーザーの個人情報を収集する目的は、サービスの提供と改善、及び提供する項目の作成と計画することでございます。,"저희가 개인 정보를 수집하는 것은 본 서비스를 완선하여 서비스 항목을 기획하며 만드는 것을 제공하기 위합니다.개인 정보 제공 없이 저희가 제공하는 서비스를 방문하며 이용할 수 있습니다만 본 서비스 이용을 선택 시 님의 연락 방식,식별 혹은 납부 방식등 개인정보를 제공 요청하겠습니다.님이 저희 웹사이트에 있는 행위에 따라 해당 정보를 작동으로 수집하여 회원인수,취미 및 행위 모드등의 연구에 이용하며 더 좋은 서비스를 제공하도록 하겠습니다.또한 제 삼자의 링크(예를 들면 광고 등)를 접속할 수 있으니 행당 프라이버시 보호는 제 삼자의 프라이버시 정책을 참조하시길 바랍니다.","The purpose of personal information collection is to provide,  improve, and plan our service option. ","The purpose of personal information collection is to provide,  improve, and plan our service option. "
privacy_paragraph_1_p_2,您可以瀏覽及使用我們所提供的服務而不須揭露任何個人的資料，如果您選擇使用本服務，我們可能要求您提供聯繫、辨認或付款等等個人資料。,您可以浏览及使用我们所提供的服务而不须揭露任何个人的资料，如果您选择使用本服务，我们可能要求您提供联系、辨认或付款等等个人资料。,"You can view and use our service without reveal your personal information in some situation, but if you choose to use The Service, we may request you to provide contact, recognizable, payment information, etc.","Bạn có thể duyệt và sử dụng các dịch vụ mà chúng tôi cung cấp mà không để lộ bất kỳ thông tin cá nhân. Nếu bạn chọn sử dụng dịch vụ này, chúng tôi có thể yêu cầu bạn cung cấp thông tin cá nhân như liên hệ, thẻ nhận danh hoặc thanh toán...",個人情報を開示しない下で本サービスのご閲覧・ご利用いただくことができます。本サービスをご利用いただく場合、連絡・認証・支払などの個人情報を要求することがございます。,,"You can view and use our service without reveal your personal information in some situation, but if you choose to use The Service, we may request you to provide contact, recognizable, payment information, etc.","You can view and use our service without reveal your personal information in some situation, but if you choose to use The Service, we may request you to provide contact, recognizable, payment information, etc."
privacy_paragraph_1_p_3,我們也可能會依據您在我們網站上的行為自動蒐集相關資料，用於我們的會員人數統計、興趣及行為模式等研究，以為您提供更好的服務。,我们也可能会依据您在我们网站上的行为自动搜集相关资料，用于我们的会员人数统计、兴趣及行为模式等研究，以为您提供更好的服务。,"We may auto collect your information on our website based on your activity, we will use it to research user behavior module, member count, and user hobby, in order to provide better service.","Chúng tôi cũng có thể tự động thu thập thông tin có liên quan dựa trên các hành vi của bạn trên trang web của chúng tôi để tự động thu tập dữ liệu liên quan nhằm sử dụng thống kê số liệu nghiên cứu như hội viên, sở thích và kiểu hành vi …., để cung cấp cho bạn các dịch vụ tốt hơn.",また、より良好なサービスをご提供するため、ウェブサイトでユーザーがした行動に関する資料を収集し、人数の統計・興味及び行動パターンに研究いたします。,,"We may auto collect your information on our website based on your activity, we will use it to research user behavior module, member count, and user hobby, in order to provide better service.","We may auto collect your information on our website based on your activity, we will use it to research user behavior module, member count, and user hobby, in order to provide better service."
privacy_paragraph_1_p_4,此外，您可能會接觸到第三方在我們網站上的連結(如廣告等)，相關的隱私權保護，請參考該第三方的隱私權政策。,此外，您可能会接触到第三方在我们网站上的连结(如广告等)，相关的隐私权保护，请参考该第三方的隐私权政策。,"Besides, you may see third party’s link on our website(for example, ads), for the related Privacy Policy, please go check the third party’s privacy policy.","Ngoài ra, bạn có thể tiếp xúc với các liên kết của bên thứ ba trên trang web của chúng tôi (chẳng hạn như quảng cáo, ...) Để bảo vệ quyền bảo mật liên quan, vui lòng tham khảo chính sách bảo mật của bên thứ ba.",なお、当社のウェブサイトで第三者のリンク（広告など）に接触する可能性がございます。関連するプライバシー保護については、第三者のプライバシーポリシーをご参照ください。,,"Besides, you may see third party’s link on our website(for example, ads), for the related Privacy Policy, please go check the third party’s privacy policy.","Besides, you may see third party’s link on our website(for example, ads), for the related Privacy Policy, please go check the third party’s privacy policy."
privacy_paragraph_2_title,二、資料蒐集之類別,二、资料搜集之类别,2. The Categories of Personal Information Collection,2. Các loại thu thập dữ liệu,2. 情報を収集する種類,2. 정보 수집 유별,2. The Categories of Personal Information Collection,2. The Categories of Personal Information Collection
privacy_paragraph_2_p,在您使用本服務時，本公司將可能蒐集下列類別之資料：,在您使用本服务时，本公司将可能搜集下列类别之资料：,"When you use QPP Service, HOLY BUSINESS may collect the data as follows;","Khi bạn sử dụng dịch vụ này, công ty có thể thu thập các loại thông tin sau:",ユーザーが本サービスをご利用いただく際、当社は下記の種類の情報を収集することがございます。,본 서비스 이용시 아래 유별과 같은 정보 수집 가능 합니다：,"When you use QPP Service, HOLY BUSINESS may collect the data as follows;","When you use QPP Service, HOLY BUSINESS may collect the data as follows;"
privacy_paragraph_2_li_1,個人資料<br/>在您使用本公司開發及經營之應用程式時，本公司可能蒐集您提供之特定資訊，包含但不限於國家或居住地區、語言設定、手機門號等資訊。,个人资料<br />在您使用本公司开发及经营之应用程式时，本公司可能搜集您提供之特定资讯，包含但不限于国家或居住地区、语言设定、手机门号等资讯。,"Personal Information<br />When you use the application that developed and operated by HOLY BUSINESS, HOLY BUSINESS might collect specific information, including but not limited to country, language setting, phone number, etc.","Thông tin cá nhân<br />Khi bạn sử dụng các ứng dụng do công ty phát triển và vận hành, công ty có thể thu thập thông tin thông tin đặc biệt của bạn, bao gồm nhưng không giới hạn bởi thông tin như quốc gia hoặc khu vực dân cư, cài đặt ngôn ngữ, số điện thoại di động...",個人情報<br />ユーザーが当社により開発・運営するアプリケーションを使用する時に、当社はユーザーがご提供いただいた特定情報を収集することがございます。それは国および居住地域・言語設定・公開名およびサポートセンターへのコメント等を含みますがこれらに限定されません。,"개인 정보<br />저희가 개발 및 운영하는 응용 프로그램을 이용 시 님이 제공하는 특정 정보를 수집할 수 있습니다만 국가 혹은 거주지역,언어 설정, 핸드폰 번호등 정보를 제외합니다. ","Personal Information<br />When you use the application that developed and operated by HOLY BUSINESS, HOLY BUSINESS might collect specific information, including but not limited to country, language setting, phone number, etc.","Personal Information<br />When you use the application that developed and operated by HOLY BUSINESS, HOLY BUSINESS might collect specific information, including but not limited to country, language setting, phone number, etc."
privacy_paragraph_2_li_2,與行動裝置及連線環境相關之資訊<br />本公司可能從您的行動裝置，蒐集與行動裝置及連線環境相關之資訊，例如產品型號、作業系統、網際網路服務提供者、行動裝置設定、IP位址及其他行動裝置所獨有而可供辨識之資訊。,与行动装置及连线环境相关之资讯<br />本公司可能从您的行动装置，搜集与行动装置及连线环境相关之资讯，例如产品型号、作业系统、网际网路服务提供者、行动装置设定、IP位址及其他行动装置所独有而可供辨识之资讯。,"Mobile Device and Connection Related Information<br />HOLY BUSINESS may collect mobile device or connection related information from your mobile device, for example, type of device, operating system, internet service provider, mobile device setting, IP address, and other recognizable information.","Thông tin liên quan đến thiết bị di động và môi trường kết nối<br />Công ty có thể thu thập thông tin liên quan đến thiết bị di động và môi trường kết nối từ thiết bị di động của bạn, chẳng hạn như kiểu sản phẩm, hệ điều hành, nhà cung cấp dịch vụ Internet, cài đặt thiết bị di động, địa chỉ IP và thông tin có thể nhận dạng duy nhất trên thiết bị di động khác.",モバイルデバイスおよび接続環境に関する情報<br />当社はユーザーのモバイルデバイスから、モバイルデバイスおよび接続環境に関する情報を収集することがございます。例えば型番・OS・インターネットプロバイダー・モバイルデバイスの設定内容・IPアドレスおよびその他モバイルデバイス固有で識別するのに利用される情報です。,"모바일 장치 및 접속 환경과의 해당 정보<br />저희가 님의 모바일 장치에서 모바일 장치 및 접속 환경의 해당 정보 예를 들면 상품형,작업시스템,온라인 서비스 제공자,모바일 장치 설정,IP주소 및 다른 모바일 장치가 제공하는 식별 정보등을 수집할 수 있습니다. ","Mobile Device and Connection Related Information<br />HOLY BUSINESS may collect mobile device or connection related information from your mobile device, for example, type of device, operating system, internet service provider, mobile device setting, IP address, and other recognizable information.","Mobile Device and Connection Related Information<br />HOLY BUSINESS may collect mobile device or connection related information from your mobile device, for example, type of device, operating system, internet service provider, mobile device setting, IP address, and other recognizable information."
privacy_paragraph_2_li_3,與您的使用及您與其他會員互動之相關資訊<br />在您使用本服務，或與其他會員於平台互動時，本公司可能蒐集您提供之資訊（包括但不限於商品資訊、聯絡資訊等）相關資訊。,与您的使用及您与其他会员互动之相关资讯<br />在您使用本服务，或与​​其他会员于平台互动时，本公司可能搜集您提供之资讯（包括但不限于商品资讯、联络资讯等）相关资讯。,"Activity and Social Related  Information<br />When you use The Service, or doing social activity with other member, HOLY BUSINESS may collect the related information provided by you(including but not limited to product information, contact information, etc.).","Thông tin liên quan đến việc sử dụng của bạn và sự tương tác của bạn với các thành viên khác<br />Khi bạn sử dụng dịch vụ này hoặc tương tác với các thành viên khác trên nền tảng, công ty có thể thu thập thông tin về thông tin bạn cung cấp (bao gồm nhưng không giới hạn ở thông tin sản phẩm, thông tin liên hệ,...",ユーザーの利用状況および他ユーザーとの交流に関する情報<br />ユーザーが本サービスを利用し、または他のユーザーとプラットホーム上で交流する際、当社はユーザーがご提供いただいた情報を収集することがございます。（商品情報・連絡情報など含みますがこれらに限定されません。）,"님의 사용 및 다른 회원들과의 소통 등의 해당 정보<br />본 서비스를 이용 시 혹은 다른 회원들과 플랫폼에서 소통할 때는 저희는 님이 제공하는 정보(포함 단 아이템 정보,연락 정보에 제한하 지않음)해당정보를 수집할 수 있습니다. ","Activity and Social Related  Information<br />When you use The Service, or doing social activity with other member, HOLY BUSINESS may collect the related information provided by you(including but not limited to product information, contact information, etc.).","Activity and Social Related  Information<br />When you use The Service, or doing social activity with other member, HOLY BUSINESS may collect the related information provided by you(including but not limited to product information, contact information, etc.)."
privacy_paragraph_2_li_4,與交易相關之資訊<br />您使用本服務時，本公司可能會蒐集交易及付款相關資訊。,与交易相关之资讯<br />您使用本服务时，本公司可能会搜集交易及付款相关资讯。,"Trade Related Information<br />When you use The Service, HOLY BUSINESS may collect trade and payment related information.","Dữ liệu giao dịch liên quan<br />Khi bạn sử dụng dịch vụ này, công ty có thể thu thập thông tin liên quan đến giao dịch và thanh toán.",取引に関する情報<br />ユーザーが本サービスをご利用いただく際、当社は取引及び支払に関する情報を収集することがございます。,거래와의 해당 정보<br />본 서비스를 이용 시 거래 및 납부의 해당 정보를 수집할 수 있습니다.,"Trade Related Information<br />When you use The Service, HOLY BUSINESS may collect trade and payment related information.","Trade Related Information<br />When you use The Service, HOLY BUSINESS may collect trade and payment related information."
privacy_paragraph_2_li_5,與您在第三方服務之帳號相關之資訊<br />在您將本公司開發及經營之應用程式與第三方服務連結時，本公司可能蒐集您於該第三方服務之帳號相關資訊，例如登入認證、個人檔案及好友關係等。,与您在第三方服务之帐号相关之资讯<br />在您将本公司开发及经营之应用程式与第三方服务连结时，本公司可能搜集您于该第三方服务之帐号相关资讯，例如登入认证、个人档案及好友关系等。,"Third Party Account Related Information<br />When you use the application that developed or operated by HOLY BUSINESS, HOLY BUSINESS may collect your third party account related information, for example, login certification, personal profile, friend list, etc.","Thông tin liên quan đến tài khoản của bạn trong các dịch vụ của bên thứ ba<br />Khi bạn sử dụng và vận hành ứng của của chúng tôi kết nối với đường liên kết bởi bên thứ ba, công ty chúng tôi có thể thu thập thông tin liên quan của bạn trong các dịch vụ của bên thứ ba chẳng hạn như thông tin đăng nhập, tệp cá nhân và quan hệ bạn bè.",サードパーティーサービスにおけるユーザーのアカウントに関する情報<br />当社により開発・運営するアプリケーションでユーザーがサードパーティーサービスに接続する時、当社はサードパーティーサービスのアカウントに関する情報を収集することがございます。例えばサインイン認証・プロフィールおよび友だち関係等です・,"님은 제 삼자 서버스의 아이디와의 해당 정보    <br />저희가 개발 및 운영하는 응용 프로그램와 제 삼자 서비스를 연결 시킬 때 저희는 님이 제 삼자 서비스에 만든 아이디의 해당 정보 예를 들면 로그인 인증,개인 정보 및 친구 관계 등 정보를 수집할 수 있습니다.","Third Party Account Related Information<br />When you use the application that developed or operated by HOLY BUSINESS, HOLY BUSINESS may collect your third party account related information, for example, login certification, personal profile, friend list, etc.","Third Party Account Related Information<br />When you use the application that developed or operated by HOLY BUSINESS, HOLY BUSINESS may collect your third party account related information, for example, login certification, personal profile, friend list, etc."
privacy_paragraph_3_title,三、資料利用之期間、地區、對象及方式,三、资料利用之期间、地区、对象及方式,"3. The Period, Area, Object, and Purpose of Data Usage","3. Thời gian, khu vực, đối tượng và phương pháp sử dụng dữ liệu",3. 情報使用の期間・地域・対象および方式,"3. 정보 이용 기간,지역,대상 및 방식","3. The Period, Area, Object, and Purpose of Data Usage","3. The Period, Area, Object, and Purpose of Data Usage"
privacy_paragraph_3_li_1,利用期間<br />除法律另有規定者外，本公司將於您使用本服務期間內利用您的個人資料，至本服務結束或至您提出停止使用之請求時為止。,利用期间<br />除法律另有规定者外，本公司将于您使用本服务期间内利用您的个人资料，至本服务结束或至您提出停止使用之请求时为止。,"Period<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information in the period of The Service usage, until the end of The Service or you request to stop.","Thời gian sử dụng<br />Trừ khi pháp luật có quy định khác, công ty sẽ sử dụng dữ liệu cá nhân của bạn trong quá trình bạn sử dụng dịch vụ này cho đến khi kết thúc dịch vụ này hoặc cho đến khi bạn yêu cầu ngừng sử dụng.",使用期間<br />法律で別途規定がある場合を除き、本サービスをユーザーが利用する期間にユーザーの個人情報を当社が使用できるものとし、本サービスを終了するあるいはユーザーによりご利用を停止するご請求を提出する時までとします。,이용 기간<br />법률에 따로 규정이 있는 경우를 제외하고는 님이 본 서비스를 이용 시작하기부터 본 서비스를 종료 혹은 중지 사용 신청할 때까지 님의 개인 정보를 이용할 수 있습니다.,"Period<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information in the period of The Service usage, until the end of The Service or you request to stop.","Period<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information in the period of The Service usage, until the end of The Service or you request to stop."
